Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
21/04/2021 10:55:28,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,"Jogos, estudos e trabalhos",3 a 5 vezes por semana.
21/04/2021 10:58:15,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Já possuo um computador que considero bom.",Sim,"Lazer, aprendizagem, estudo e treino",6 ou mais vezes por semana.
21/04/2021 10:58:24,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Jogos/Estudo,6 ou mais vezes por semana.
21/04/2021 11:00:25,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Estudar e alguns jogos,6 ou mais vezes por semana.
21/04/2021 11:00:40,14 a 20 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Faculdade e trabalho,6 ou mais vezes por semana.
21/04/2021 11:01:19,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Para fins didáticos e recreativos,6 ou mais vezes por semana.
21/04/2021 11:01:54,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,"Trabalho, faculdade, programação ",3 a 5 vezes por semana.
21/04/2021 11:03:15,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,"estudar, jogar",6 ou mais vezes por semana.
21/04/2021 11:05:56,31 a 40 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 11:07:00,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,trabalho e entretenimento,6 ou mais vezes por semana.
21/04/2021 11:07:00,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,Estudos e trabalho,6 ou mais vezes por semana.
21/04/2021 11:08:08,31 a 40 anos,Olhando as especificações técnicas do computador.,Não,"Trabalho, estudo e lazer",6 ou mais vezes por semana.
21/04/2021 11:08:25,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho escolar,1 a 2 vezes por semana.
21/04/2021 11:09:03,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,"Trabalho, pesquisa, etc",3 a 5 vezes por semana.
21/04/2021 11:09:32,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Pesquisas para trabalho escolar e entretenimento,6 ou mais vezes por semana.
21/04/2021 11:10:21,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
21/04/2021 11:10:28,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
21/04/2021 11:12:28,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Jogar e streamer ,6 ou mais vezes por semana.
21/04/2021 11:12:48,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudo e trabalho ,1 a 2 vezes por semana.
21/04/2021 11:13:36,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudos e/ou trabalho,6 ou mais vezes por semana.
21/04/2021 11:13:59,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Para jogar, estudar",3 a 5 vezes por semana.
21/04/2021 11:15:41,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Não,"Estudar, trabalhar e jogar ",6 ou mais vezes por semana.
21/04/2021 11:17:09,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..). Olhando as especificações técnicas do computador.",6 ou mais vezes por semana.
21/04/2021 11:17:15,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Para ficar melhor informado,6 ou mais vezes por semana.
21/04/2021 11:17:30,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,"Pra estudar, fazer compras e rede social.",Não utilizo um computador.
21/04/2021 11:19:20,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Trabalho e lazer,6 ou mais vezes por semana.
21/04/2021 11:19:31,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudos,6 ou mais vezes por semana.
21/04/2021 11:20:17,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho,6 ou mais vezes por semana.
21/04/2021 11:20:44,21 a 30 anos,Olhando as especificações técnicas do computador.,Não,Trabalho e estudos ,6 ou mais vezes por semana.
21/04/2021 11:22:10,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Pra trabalhar ,6 ou mais vezes por semana.
21/04/2021 11:32:47,41 anos ou +,Recorreria à alguém com conhecimento na área.,Não,Pesquisas ,Não utilizo um computador.
21/04/2021 11:33:50,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudo,6 ou mais vezes por semana.
21/04/2021 11:36:54,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho e jogos,6 ou mais vezes por semana.
21/04/2021 11:37:26,41 anos ou +,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Para maiores informações,Não utilizo um computador.
21/04/2021 11:39:27,41 anos ou +,Olhando as especificações técnicas do computador.,Não,Trabalho,6 ou mais vezes por semana.
21/04/2021 11:41:08,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Jogos ,Não utilizo um computador.
21/04/2021 11:54:22,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,Recreativo,6 ou mais vezes por semana.
21/04/2021 11:54:28,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e estudo ,6 ou mais vezes por semana.
